example_idx,example_id,task_type,complexity_category,position_category,true_sections,predicted_sections,precision,recall,f1_score,true_errors,predicted_errors,tokens_used,total_sections
228,dfef767ebe9f3eb3f8d9f0c591ae98a9,math,Multiple Errors,Early Errors,"[1, 3, 7]","[1, 3, 4, 5]",0.5,0.6666666666666666,0.5714285714285715,3,4,7264,11
51,bf3a705e07478d7fc2fe8a484dcd04c3,math,Single Error,Early Errors,[3],[1],0.0,0.0,0.0,1,1,9038,18
563,04f6e61de0ccdc7e131c486d7e89f4a6,math,Complex Errors,Late Errors,"[10, 13, 15, 18, 22, 23]",[23],1.0,0.16666666666666666,0.2857142857142857,6,1,4958,23
501,609f1bdb356a0a04d83dd9acfe377752,math,Single Error,Late Errors,[30],"[11, 20, 24, 30]",0.25,1.0,0.4,1,4,6926,30
457,dbba09850e8dd12a309db09d59016473,math,Multiple Errors,Middle Errors,"[10, 11]","[1, 2]",0.0,0.0,0.0,2,2,6265,23
285,71e5b88f158a5c81afad64fb16245dd2,Physics&Chemistry&Biology,Complex Errors,Early Errors,"[8, 3, 4, 7]","[3, 4, 6]",0.6666666666666666,0.5,0.5714285714285715,4,3,2766,11
209,df27fdfb0ecc4c03aca8b8ad1c9c94a8,general,Multiple Errors,Early Errors,"[1, 3]","[1, 3]",1.0,1.0,1.0,2,2,6686,35
1116,35222363044424c73117ead9b0e36954,code,Single Error,Mixed Position,[2],"[1, 2]",0.5,1.0,0.6666666666666666,1,2,1551,2
178,f9db21120ee3ca35adce69ed1729694a,math,Single Error,Early Errors,[3],[1],0.0,0.0,0.0,1,1,7787,24
1209,5ad4affd192204c30746d13d877c9bab,code,Multiple Errors,Late Errors,"[16, 6]","[3, 6, 12, 16]",0.5,1.0,0.6666666666666666,2,4,4876,17
864,bd96f49987ba0ddaaf9681f3c9349c1c,code,Multiple Errors,Late Errors,"[6, 7]","[1, 2, 3, 4, 5, 7]",0.16666666666666666,0.5,0.25,2,6,3536,9
65,93cbcf5575112dec53069e0876c5ed65,math,Single Error,Early Errors,[2],[],0.0,0.0,0.0,1,0,8300,16
61,e6d977d2ad827d7082227f141c067fd8,math,Single Error,Middle Errors,[14],[],0.0,0.0,0.0,1,0,6774,34
191,f519b31ee0bbd6b61b499184b2e9a052,math,Multiple Errors,Middle Errors,"[4, 13]","[4, 5, 11, 12]",0.25,0.5,0.3333333333333333,2,4,6478,25
447,cf37a8db32beac4cfdc22e95ac057983,math,Multiple Errors,Middle Errors,"[10, 11]","[2, 10]",0.5,0.5,0.5,2,2,4807,17
476,7fdb79f9869e713c3f8239fe654cbc39,math,Multiple Errors,Middle Errors,"[17, 18]","[2, 15]",0.0,0.0,0.0,2,2,5455,21
1034,0eaa60072e5c6cbf20adfa8fe7278836,code,Single Error,Early Errors,[2],[],0.0,0.0,0.0,1,0,7292,19
1232,531e2b9acfc4e1a1f8824407fbca5468,general,Complex Errors,Middle Errors,"[8, 4, 6, 7]","[1, 2, 4, 8]",0.5,0.5,0.5,4,4,5904,30
54,35aaad89775dade3ff34a25e746394eb,math,Single Error,Middle Errors,[5],[2],0.0,0.0,0.0,1,1,8158,27
1149,bf85b108e0e0dfca5711c144d4159625,code,Single Error,Late Errors,[11],"[1, 8, 10]",0.0,0.0,0.0,1,3,2745,11
407,861be4f28168c2cacdb92dc22d507dbd,math,Single Error,Late Errors,[17],"[12, 14, 13, 15, 17]",0.2,1.0,0.33333333333333337,1,5,5833,17
859,142ca27b17b62b23976c4e7d64084714,code,Multiple Errors,Late Errors,"[20, 21]","[1, 4, 5, 12]",0.0,0.0,0.0,2,4,5309,22
451,be3169c7811c9d29a1d45b6ca921c183,math,Complex Errors,Early Errors,"[2, 5, 7, 11, 13, 16]","[1, 2, 3, 5, 6, 8, 13]",0.42857142857142855,0.5,0.4615384615384615,6,7,11387,19
919,1fa6c37f6c7e7677f1a687552838b5a2,code,Single Error,Mixed Position,[3],[3],1.0,1.0,1.0,1,1,695,3
