example_idx,task_l1,true_sections,predicted_sections,precision,recall,f1_score,true_errors,predicted_errors,tokens_used,error_category
228,math,[7],"[1, 2, 3, 4, 5, 6, 7]",0.42857142857142855,1.0,0.6,1,7,7407,Single error
51,math,[3],"[1, 2, 3]",0.3333333333333333,1.0,0.5,1,3,9243,Single error
563,math,"[15, 23]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.2608695652173913,1.0,0.41379310344827586,2,23,5708,Multiple errors
501,math,[30],"[20, 24, 30]",0.3333333333333333,1.0,0.5,1,3,6778,Single error
457,math,[10],"[1, 2, 3, 4]",0.0,0.0,0.0,1,4,6453,Single error
285,Physics&Chemistry&Biology,"[3, 7, 8]","[3, 4, 6]",0.6666666666666666,0.5,0.5714285714285715,3,3,2710,Multiple errors
209,general,"[1, 3]","[1, 3]",1.0,1.0,1.0,2,2,6423,Multiple errors
1116,code,[2],"[1, 2]",0.5,1.0,0.6666666666666666,1,2,1530,Single error
178,math,[3],[1],0.0,0.0,0.0,1,1,7808,Single error
1209,code,"[6, 16]","[3, 6, 8, 9, 12]",0.2,0.5,0.28571428571428575,2,5,4966,Multiple errors
864,code,[6],"[1, 2, 3, 4, 5, 6, 7]",0.2857142857142857,1.0,0.4444444444444445,1,7,3657,Single error
65,math,[2],[],0.0,0.0,0.0,1,0,8164,Single error
61,math,[14],"[1, 2, 3, 4, 5, 10]",0.0,0.0,0.0,1,6,6997,Single error
191,math,[],"[4, 6, 5]",0.3333333333333333,0.5,0.4,0,3,6476,No errors
447,math,[10],"[2, 4, 5]",0.0,0.0,0.0,1,3,4955,Single error
476,math,[17],"[2, 15, 17, 11]",0.25,0.5,0.3333333333333333,1,4,5690,Single error
1034,code,[2],"[1, 2]",0.5,1.0,0.6666666666666666,1,2,7536,Single error
1232,general,"[8, 4, 6, 7]",[8],1.0,0.25,0.4,4,1,5789,Multiple errors
54,math,[5],[2],0.0,0.0,0.0,1,1,7904,Single error
1149,code,[11],"[1, 3, 4, 8, 10, 11]",0.16666666666666666,1.0,0.2857142857142857,1,6,2975,Single error
407,math,[17],"[10, 12, 15, 16]",0.0,0.0,0.0,1,4,5810,Single error
859,code,[20],"[1, 4, 5, 20]",0.25,0.5,0.3333333333333333,1,4,5257,Single error
451,math,"[2, 5, 7, 11, 13, 16]","[1, 2, 5, 8, 10, 12, 15]",0.2857142857142857,0.3333333333333333,0.30769230769230765,6,7,11412,Multiple errors
919,code,[3],[3],1.0,1.0,1.0,1,1,696,Single error
1206,code,[6],"[5, 6]",0.5,1.0,0.6666666666666666,1,2,1262,Single error
569,math,[12],[14],1.0,0.3333333333333333,0.5,1,1,3496,Single error
13,math,[4],[],0.0,0.0,0.0,1,0,9618,Single error
326,Physics&Chemistry&Biology,"[5, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.2222222222222222,1.0,0.3636363636363636,2,9,3756,Multiple errors
865,code,[8],"[1, 3, 4, 6, 8]",0.2,1.0,0.33333333333333337,1,5,5208,Single error
696,Physics&Chemistry&Biology,[3],"[1, 3]",0.5,0.5,0.5,1,2,5069,Single error
318,Physics&Chemistry&Biology,[9],"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.1111111111111111,1.0,0.19999999999999998,1,9,5237,Single error
440,math,"[4, 21]","[1, 4, 17, 19, 20]",0.2,0.3333333333333333,0.25,2,5,7791,Multiple errors
689,Physics&Chemistry&Biology,[1],[],0.0,0.0,0.0,1,0,2091,Single error
189,math,[2],[1],0.0,0.0,0.0,1,1,7536,Single error
778,math,"[7, 22]","[3, 5]",0.0,0.0,0.0,2,2,7094,Multiple errors
198,general,[2],[2],1.0,1.0,1.0,1,1,1874,Single error
735,math,[5],[5],1.0,1.0,1.0,1,1,6224,Single error
704,Physics&Chemistry&Biology,[2],"[1, 2, 3]",0.6666666666666666,1.0,0.8,1,3,2482,Single error
541,math,[26],"[1, 3, 5, 10, 21, 23]",0.3333333333333333,0.4,0.3636363636363636,1,6,5914,Single error
88,math,[3],"[1, 2]",0.0,0.0,0.0,1,2,7535,Single error
